,Speaker,Text
0,Leonard,Again I’m right here.
1,Sheldon,Fine. The record shall so reflect. Now getting back to the problem at hand what to do with a washed-up experimental physicist.
2,Sheldon,One two three four five six seven eight… Drat. I’m never going to get to forty-three again. One two three four… Rats.
3,Sheldon,I’m not sure. Earlier tonight things began organically and now it’s feeling forced like all the Pirates of the Caribbean sequels.
4,Leonard,He’s finding the acoustic sweet spot.
6,Howard,Uh yeah last night. He kept making me drop pencils for him. I got uncomfortable.  che-ee-ee-ese.
7,Penny,What?
8,Leonard,There was a flier on the bulletin board at the university. Roommate wanted. Whistlers need not apply.
9,Sheldon,Oh. A small human wreaks havoc on his wife’s genitals and he gets time off.
10,Leonard,Can we please change the subject.
11,Leonard,Here it is. There’s a black light.
12,Penny,He would get his own place.
13,Leonard,You okay?
14,Penny,Kurt!
15,Leonard,Yeah but Sheldon and Amy were having date night and they don’t need me there to make it awkward. They have each other for that. So how was school?
16,Leonard,Okay well goodnight. 
17,Leonard,Positive.
18,Sheldon,A sigma particle.
19,Sheldon,He’s not wrong. It was your crackpot idea that he deserves love.
20,Raj,Well if you want privacy let go of the ring. I’m so glad we came to this gentile strip club! Howard here’s more bacon to tuck into the shiksa’s G-string!
21,Sheldon,That does it. I’m getting uranium.
22,Raj,What are you doing?
23,Penny,Oh now I’m a child? Well at least I’m not an idiot anymore!
24,Sheldon,Normally I’d feel the same way. But based on everything I’ve observed about us I can’t help but speculate we’d be very good together.
25,Penny,Definitely.
26,Leonard,I’m just gonna go home and let my work speak for itself.
27,Sheldon,Oh Leonard there you are I’m ready to go home.
29,Leonard,You have no idea how much you inconvenience the lives of everyone around you. It’s exhausting.
30,Penny,Yeah I guess.
31,Leonard,As it turns out she was a North Korean spy. Luckily Sheldon drove her out before I revealed anything important. Which I’m not saying I would have.
32,Sheldon,I have paperwork that says differently.
33,Leonard,We’re really more….
34,Leonard,I wonder why she didn’t say good-bye.
35,Sheldon,Because he’s not like us Penny. We’re dreamers.
36,Howard,No I was in India it was humid and smelled funny.
37,Leonard,You just wave your arms a little and they fly away it’s not…
38,Penny,Sweetie I’m so sorry. I wish there was something I could do to make you feel better.
39,Penny,Oh. Well good boy.
40,Leonard,Mitzy’s dead?
41,Penny,Okay good ’cause that’s what I want too.
42,Raj,Let’s set up the equipment. It’ll help take your mind off of it.
43,Penny,Sharp. Thanks to the machine we saw earlier.
44,Sheldon, Amy. Hmm. Tables work too. Good to know.
45,Howard,The Fantastic Four reunited.
46,Penny,All right. Terrific. Well let me just go find a pair of shoes that aren’t so tall. We wouldn’t want you to feel like you were out for a walk with your mommy.
47,Sheldon,  Penny.
48,Howard,Way to make lemonade. You know from around the corner where fudge is made.
49,Leonard,Where exactly did your mother have you tested?
50,Sheldon,Come in.
51,Penny,But he’s sad.
52,Leonard,Hi.
53,Raj,Do you have a preference?
54,Howard,Hello.
55,Sheldon,Well…
56,Penny,Yeah it was.
57,Penny,And you thought my acting lessons were a waste of money.
59,Sheldon,I don’t think it worked.
60,Penny,When a suitcase just won’t do.
61,Leonard,Will you at least think about it? Just as a favour to me?
62,Howard,I can’t see him.
63,Leonard,You know what? Why don’t we just forget about them and enjoy our Valentine’s Day?
64,Leonard,Oh Sheldon stop it.
65,Leonard,Wil can we just turn off the podcast for a little bit?
66,Sheldon,See? That’s what I thought. But then they go and throw in an ESRAM buffer.
67,Leonard,You can’t say that anymore.
68,Sheldon,Great. I’ll start packing. In a minute.  Oh look it’s the cholermus.
69,Leonard,Squeeze yourself.
70,Penny,Oh thank you so much. It feels so good to hear you say that. And I want you to know that I get this job kind of changes the balance in our relationship and I’m trying to be sensitive to that.
